id;id_network;short_indicator;indicator;dimension;theme;sub_theme;Type_Impact;Type_Indicators;system_based_classification;System_Units;spatial_representation;Ideal;monitor;Pillar
213;1065;Percentage of adults structurally exercising weekly;Percentage of adults structurally exercising weekly;Quality of Life;Health;Lifestyle-Exercise;Here and now;;;;City;Collective City;10_DBoom;Social
191;1066;Membership Associations;Membership Associations and Organizations;Quality of Life;Work Life Balance;Time use;Here and now;;System Condition;People;Neighborhood;Collective City;1_StaatVDS;Social
404;1067;Number of households in control of care and residential nuisance hotline;Number of households in control of care and residential nuisance hotline;Quality of Life;Safety;Safety;Here and now;;;;City;Collective City;10_DBoom;Social
233;1068;An annual qualitative sports events calendar with a minimum number of (top) sports events on which extra effort has been made from the sports budget;An annual qualitative sports events calendar with a minimum number of (top) sports events on which extra effort has been made from the sports budget;Quality of Life;Work Life Balance;Sports;Here and now;;;;City;Collective City;10_DBoom;Social
301;1069;Number of Amsterdam residents for whom neighborhood team support ends (outflow);Number of Amsterdam residents for whom neighborhood team support ends (outflow);Quality of Life;Health;Health care facilities;Here and now;;;;City;Collective City;10_DBoom;Social
49;1070;Leisure Associations;Leisure activities - Associations;Quality of Life;Work Life Balance;Time use;Here and now;;System Condition;Units;Neighborhood;Collective City;1_StaatVDS;Social
302;1071;Percentage of Amsterdam residents supported by neighborhood teams in relation to the total number of Amsterdam residents with individual support;Percentage of Amsterdam residents supported by neighborhood teams in relation to the total number of Amsterdam residents with individual support;Quality of Life;Health;Health care facilities;Here and now;;;;City;Collective City;10_DBoom;Social
212;1072;Percentage of youth (5 to 18 years) who structurally play sports weekly*;Percentage of youth (5 to 18 years) who structurally play sports weekly*;Quality of Life;Work Life Balance;Sports;Here and now;;;;City;Collective City;10_DBoom;Social
124;1073;WLZ;People who use the facilities under Long-term Care Act (WLZ);Quality of Life;Social Connections;Bridging social capital;Here and now;;System Condition;People;City;Collective City;1_StaatVDS;Social
391;1074;Number of GRIP situations;Number of GRIP situations;Quality of Life;Safety;Safety;Here and now;;;;City;Collective City;10_DBoom;Social
193;1075;Nightlife-Cultural;Nightlife-Cultural;Quality of Life;Work Life Balance;Cultural;Here and now;;System Condition;People;Neighborhood;Collective City;1_StaatVDS;Social
123;1076;WMO;People who use the facilities under Social Support Act (WMO);Quality of Life;Social Connections;Bridging social capital;Here and now;;System Condition;People;City;Collective City;1_StaatVDS;Social
282;1077;Proportion of vulnerable Youth participating in Youth Work Coaching (approximate);Proportion of vulnerable Youth participating in Youth Work Coaching (approximate);Quality of Life;Health;Mental health;Here and now;;;;City;Collective City;10_DBoom;Social
296;1078;"Number of youth (and their parents) supported by the Parent and Child Team with: - Parenting and growing up support (youth/parents)
- Youth support (juveniles and their parents)";"Number of youth (and their parents) supported by the Parent and Child Team with: - Parenting and growing up support (youth/parents)
- Youth support (juveniles and their parents)";Quality of Life;Health;Health care facilities;Here and now;;;;City;Collective City;10_DBoom;Social
59;1079;Amount of shelters;Amount of shelters;Quality of Life;Housing;Slums-rough sleepers;Here and now;;;;;Collective City;9_SDGs;Social
403;1080;Number of prioritized integrated area and thematic approaches;Number of prioritized integrated area and thematic approaches;Quality of Life;Safety;Safety;Here and now, Later;;;;City;Collective City;10_DBoom;Social
299;1081;Number of Amsterdam residents supported by neighborhood team;Number of Amsterdam residents supported by neighborhood team;Quality of Life;Health;Health care facilities;Here and now;;;;City;Collective City;10_DBoom;Social
115;1082;Loneliness;people feeling lonely;Quality of Life;Health;Mental health;Here and now;;Adverse Outcome;People;City;Collective City;1_StaatVDS;Social
125;1083;Preschool toddlers;Pre-school participation of toddlers with and without target group indication;Quality of Life;Education;Participation in education;Here and now;;System Condition;People;City;Collective City;1_StaatVDS;Social
23;1084;Turnout parliamentary;Turnout  parliamentary;Social Capital;Institutional;Voter turnout;Here and now;;Value Creation ;People;;Collective City;4_Stadsdonut;Social
337;1085;Percentage of Amsterdam residents who have felt discriminated against in the past 12 months;Percentage of Amsterdam residents who have felt discriminated against in the past 12 months;Social Capital;Institutional;Social justice;Here and now;;;;City;Collective City;10_DBoom;Social
190;1086;Hobbies Activities;Hobbies Activities;Quality of Life;Work Life Balance;Time use;Here and now;;System Condition;People;Neighborhood;Collective City;1_StaatVDS;Social
30;1087;Volunteer work;Volunteer work;Quality of Life;Social Connections;Voluntary work;Here and now;;;;City;Collective City;2_BWMRA;Social
9;1088;Social connection;Social city conneciton;Quality of Life;Social Connections;Generalised trust;Here and now;;Value Creation ;People;;Collective City;4_Stadsdonut;Social
297;1089;% youth with youth assistance OKT, in which there was no referral to (highly) specialized youth assistance (% youth assistance provided by themselves);% youth with youth assistance OKT, in which there was no referral to (highly) specialized youth assistance (% youth assistance provided by themselves);Quality of Life;Health;Health care facilities;Here and now;;;;City;Collective City;10_DBoom;Social
2;1090;Children on social assistence;Children on social assistence;Quality of Life;Consumption and Income;Distribution-Income;Here and now;;;;;Collective City;9_SDGs;Economic
192;1091;Membership Library;Membership Library;Quality of Life;Work Life Balance;Time use;Here and now;;System Condition;People;Neighborhood;Collective City;1_StaatVDS;Social
298;1092;Number of participants (youth and parents/families) in the Flexible Preventive Offering Youth (FPAJ).;Number of participants (youth and parents/families) in the Flexible Preventive Offering Youth (FPAJ).;Quality of Life;Health;Health care facilities;Here and now;;;;City;Collective City;10_DBoom;Social
338;1093;Number of reports about discrimination ();Number of reports about discrimination ();Social Capital;Institutional;Social justice;Here and now;;;;City;Collective City;10_DBoom;Social
283;1094;The number of cases on which people receive support;The number of cases on which people receive support;Quality of Life;Health;Mental health;Here and now;;;;City;Collective City;10_DBoom;Social
324;1095;"Number of unique clients in short-term care
-families
-vulnerable singles (incl. pathway beds)";"Number of unique clients in short-term care
-families
-vulnerable singles (incl. pathway beds)";Quality of Life;Health;Health care facilities;Here and now;;;;City;Collective City;10_DBoom;Social
21;1096;Development norms-values;Development of norms and values;Social Capital;Institutional;Global social capital;Here and now;Strategic;Value Creation ;Index;;Collective City;6_RMBW;Social
22;1097;Turnout  municipal;Turnout  municipal elections;Social Capital;Institutional;Voter turnout;Here and now;;Value Creation ;People;;Collective City;4_Stadsdonut;Social
334;1098;"Number of Trafficking Victims Received.
-Number of emergency bed placements (72 hour placement)
-Number of ACM regular (24 hour shelter)";"Number of Trafficking Victims Received.
-Number of emergency bed placements (72 hour placement)
-Number of ACM regular (24 hour shelter)";Quality of Life;Health;Health care facilities;Here and now;;;;City;Collective City;10_DBoom;Social
336;1099;To what extent do Amsterdammers experience that they can be themselves on the streets of Amsterdam? ;To what extent do Amsterdammers experience that they can be themselves on the streets of Amsterdam? ;Social Capital;Institutional;Social justice;Here and now;;;;City;Collective City;10_DBoom;Social
457;1100;Social impact measurement of supported institutions through MAEX;Social impact measurement of supported institutions through MAEX;Social Capital;Institutional;Global social capital;Here and now;;;;City;Collective City;10_DBoom;Social
13;1101;Turnout in elections;Turnout in elections;Social Capital;Institutional;Voter turnout;Here and now;;;;City;Collective City;2_BWMRA;Social
339;1102;Number of reports of employment discrimination.;Number of reports of employment discrimination.;Social Capital;Institutional;Social justice;Here and now;;;;City;Collective City;10_DBoom;Social
62;1103;Number of burials;Number of burials;Quality of Life;Health;Health care facilities;Here and now;;;;City;Collective City;10_DBoom;Social
335;1104;Number of victims assisted ambulant;Number of victims assisted ambulant;Quality of Life;Health;Health care facilities;Here and now;;;;City;Collective City;10_DBoom;Social
195;1105;Membership Sports;Membership Sport Associations;Quality of Life;Work Life Balance;Sports;Here and now;;System Condition;People;Neighborhood;Collective City;1_StaatVDS;Social
279;1106;Proportion of Amsterdam residents aged 18 or older who have engaged in neighborhood or city activities in the past 12 months.;Proportion of Amsterdam residents aged 18 or older who have engaged in neighborhood or city activities in the past 12 months.;Social Capital;Social Connections;Voluntary work;Here and now;;;;City;Collective City;10_DBoom;Social
278;1107;Share of Amsterdam residents aged 19 and older who are (very) seriously lonely according to the De Jong-Gierveld loneliness scale;Share of Amsterdam residents aged 19 and older who are (very) seriously lonely according to the De Jong-Gierveld loneliness scale;Quality of Life;Health;Mental health;Here and now;;;;City;Collective City;10_DBoom;Social
234;1108;At least one appealing (top) sporting event per year in the World Cup, European Championship, or World Cup category, preferably in an Olympic sport;At least one appealing (top) sporting event per year in the World Cup, European Championship, or World Cup category, preferably in an Olympic sport;Quality of Life;Work Life Balance;Sports;Here and Now, Elsewhere;;;;City;Collective City;10_DBoom;Social
181;1109;Satisfaction social;Satisfaction with friendship and social contacts;Social Capital;Social Connections;Family/Friends;Here and now;;System Condition;People;City;Collective City;1_StaatVDS;Social
121;1110;Received help health;Amsterdam residents aged 18 and older have had help with household activities, personal care and/or nursing in the past twelve months because of health;Quality of Life;Health;Distribution-Health;Here and now;;System Condition;People;City;Collective City;1_StaatVDS;Social
222;1111;Commitment with neigh. (city);Commitment with neighbourhood or city;Social Capital;Social Connections;Bridging social capital;Here and now;;System Condition;People;Neighborhood;Collective City;1_StaatVDS;Social
280;1112;Proportion of Amsterdam residents aged 18 or older who provided informal help (sometimes/often) in the past 12 months;Proportion of Amsterdam residents aged 18 or older who provided informal help (sometimes/often) in the past 12 months;Social Capital;Social Connections;Voluntary work;Here and now;;;;City;Collective City;10_DBoom;Social
8;1113;Loneliness;Experienced loneliness;Social Capital;Social Connections;Family/Friends;Here and now;;Adverse Outcome;People;;Collective City;4_Stadsdonut;Social
182;1114;Contact with people (digital);Digital contact with family, friends, neighbors, and other local residents;Social Capital;Social Connections;Family/Friends;Here and now;;System Condition;People;City;Collective City;1_StaatVDS;Social
180;1115;Contact with people; Contact with family, friends, neighbors, and other local residents;Social Capital;Social Connections;Family/Friends;Here and now;;System Condition;People;City;Collective City;1_StaatVDS;Social
20;1116;Trust people;Trust in people;Social Capital;Social Connections;Family/Friends;Here and now, Later;Strategic;Value Creation ;Index;;Collective City;6_RMBW;Social
17;1117;Contact close people;Contact with family, friends or neighbors;Social Capital;Social Connections;Family/Friends;Here and now;Strategic;System Condition;Population;;Collective City;6_RMBW;Social
277;1118;Proportion of Amsterdam residents aged 18 or older who volunteer in or through an organization.;Proportion of Amsterdam residents aged 18 or older who volunteer in or through an organization.;Social Capital;Social Connections;Voluntary work;Here and now;;;;City;Collective City;10_DBoom;Social
223;1119;Social cohesion;Social cohesion;Social Capital;Social Connections;Bridging social capital;Here and now;;System Condition;Index;Neighborhood;Collective City;1_StaatVDS;Social
220;1120;Interaction neigh. Cultural;Interaction between neighbours with different ethnic or cultural backgroud;Social Capital;Social Connections;Bridging social capital;Here and now;;System Condition;People;Neighborhood;Collective City;1_StaatVDS;Social
52;1121;Volunteering;Social participation - Volunteering;Social Capital;Social Connections;Voluntary work;Here and now;;Value Creation ;Units;Neighborhood;Collective City;1_StaatVDS;Social
